tissueSiteDetailId,ENSG00000156603.15,ENSG00000196235.13,ENSG00000117713.18,ENSG00000153922.10,ENSG00000167548.14
Thyroid,5.660868242464891,23.514133496541668,8.651864566925301,4.868531191402723,7.939625317665291
Testis,6.630969678943319,29.946671630583364,5.896217815727761,4.944336181819549,6.089534074006021
Small_Intestine_Terminal_Ileum,2.8039794707065706,23.105589452017682,11.197122915679538,9.218848679117029,7.744010757509842
Skin_Not_Sun_Exposed_Suprapubic,3.7797709464695646,10.433363158136482,6.377279430724016,5.661255056280984,6.208452541108722
Brain_Frontal_Cortex_BA9,6.987262434056898,21.681360624092274,4.173897841499369,1.565898641217259,3.483370414667919
Fallopian_Tube,2.7179463016706995,15.37234819046488,7.503587948359467,7.865991182549763,7.367910570361146
Bladder,4.717717974227979,12.993198395127635,9.551034634270469,3.8282824766582255,4.713282123094488
Vagina,3.829342948791722,16.205086563131136,5.657472999099141,5.841934954050358,4.48368968345433
Whole_Blood,2.478495400607934,22.464532516363008,9.169727826225195,10.377896487436148,7.1290503057205905
Brain_Amygdala,5.147426688228866,17.315329182712023,4.161159136267288,1.9785860469027545,2.74879935976769
Pituitary,4.612316175761152,29.737155421812012,5.895553750977586,4.402858939157328,6.234075534394214
Minor_Salivary_Gland,3.4057773486272556,13.330002630544207,6.4446344353172815,3.6401435297369544,4.588784550008353
Adipose_Subcutaneous,3.055723737019469,12.746089095099284,4.8072575447505255,5.453677424767126,4.474179815616968
Adrenal_Gland,4.123296724929337,12.863494201788344,5.937760805293656,9.136387061687353,3.826431723754429
Heart_Atrial_Appendage,2.1395232991991406,10.75447075916173,3.9045299599822787,3.378098467883896,2.5635417033706154
Breast_Mammary_Tissue,4.313737480474522,21.040158068018176,7.912119038220912,6.234762460035621,6.822329287575634
Stomach,3.259125560238597,16.24615217761926,6.617541190316017,8.12781406794086,4.8030216916029005
Brain_Caudate_basal_ganglia,4.9351572706322955,22.594725529378916,4.20975723371731,1.3927045104633768,2.983853344578208
Colon_Transverse,2.5668878937547714,14.302458062098736,6.008927052691777,5.128186472803844,4.30117124536776
Brain_Cerebellum,3.4845829120131975,28.841740975411415,7.1054484267417655,6.236098550611195,8.200922206414173
Esophagus_Muscularis,2.55322504839985,14.636672801973711,5.6288492440881965,4.668584931549773,4.708521897169634
Liver,2.5176329909664354,11.532738485880556,3.078790917637534,2.455577814811242,2.304446245414064
Muscle_Skeletal,2.802840661048783,22.50367452244048,4.586166261247878,4.385250355804489,5.087334019668099
Prostate,5.759821769744731,24.116353744106313,6.376233289367097,5.7624913401596025,6.7180684363861864
Pancreas,2.1274279957434046,10.70623208774308,3.149714091309791,2.086028537553693,3.1676974912207143
Nerve_Tibial,3.178344536682008,13.764148406726942,6.618603394591488,6.110965110382712,5.95294972949035
Brain_Hippocampus,5.009851819409576,21.58293535716958,4.341916404153358,1.8868464551405904,2.990831229909635
Spleen,3.2221170245456765,18.58880602495431,8.077457573513692,6.1346282240594565,7.585264356977371
Colon_Sigmoid,2.396461449078016,13.502247168117439,6.291197641254757,5.937325281056679,4.763746725553931
Brain_Anterior_cingulate_cortex_BA24,6.163894107683241,20.35368508499766,3.824434584418443,1.5660265383452645,3.0263845250378263
Esophagus_Gastroesophageal_Junction,2.713792811263233,17.398931545719186,6.024835491183325,6.304855015141549,5.189571190824237
Brain_Hypothalamus,5.593052348907074,22.442862396232936,5.536869248095695,2.662165068440091,3.354762139936075
Brain_Cortex,5.751865776515443,19.60517363922257,3.647564724283764,1.836343147052176,3.5877810770180774
Heart_Left_Ventricle,2.739358725138474,12.501483259946841,5.308434350912453,2.391388598867669,3.141526363557651
Artery_Tibial,3.0254166264214515,22.439948592968,7.046420227141699,10.540478203263355,5.388426582765839
Uterus,4.682069053432139,18.003266704306295,8.374520249355404,6.753031266656096,7.428010305645359
Ovary,3.561301743705835,22.316224057237807,10.09287052549692,25.929086719036853,5.968502123276455
Cells_EBV-transformed_lymphocytes,2.6664973588741985,15.952400218075779,9.58918891571663,5.7768239906382455,5.896084370827292
Artery_Coronary,3.2659741945652256,19.160241978291054,5.610199386806339,7.207515737177871,5.0917210814809195
Brain_Spinal_cord_cervical_c-1,3.4064728862304534,18.820309599566095,6.103091363213394,2.5384197936611894,3.9975315149608885
Adipose_Visceral_Omentum,3.397718093367556,14.261984884895975,5.2653315689479925,12.155123637654333,3.744758051425822
Brain_Nucleus_accumbens_basal_ganglia,6.455079219268411,27.9697742048533,5.153555267428607,1.6524758959757981,3.6245969679093855
Brain_Cerebellar_Hemisphere,4.136893449977042,37.87100999955183,9.151474166607674,7.146103262984328,9.300721791770668
Esophagus_Mucosa,3.320411135764743,10.740355406515105,5.653895539667865,3.415730488915189,4.429987889677546
Cells_Cultured_fibroblasts,8.251285802955405,18.54351459643079,6.970761554544619,4.426804653247726,8.427377415919576
Artery_Aorta,3.8115745888609625,20.376715199784787,5.736828862628832,6.756113967745646,4.3394785033735825
Brain_Putamen_basal_ganglia,5.211397441651164,24.06939043518708,3.8740727393614045,1.279024722917112,2.5091058860395825
Kidney_Medulla,3.816355427629875,22.24217769801329,6.190754613736519,3.9488014241665788,5.636451559935559
Lung,4.7166255097650085,13.859498487854815,6.518389607278873,11.864244821365904,6.349106113245102
Kidney_Cortex,4.774863553564197,24.159911287905143,7.122831627785783,4.473209097338522,5.407017672807112
Brain_Substantia_nigra,3.307064411168304,17.69090572483915,4.1480970149581715,1.7116786691626846,3.1125711465421366
Cervix_Endocervix,2.704386067113939,17.42623263932856,8.25166316568969,4.939083315758098,5.037717836481118
Skin_Sun_Exposed_Lower_leg,4.026695021678865,11.921021125137111,6.5813745977930935,4.6162692069301885,6.390798047831355
Cervix_Ectocervix,3.820294785342301,18.821253812159497,7.955247666295423,6.497432377960762,5.686864874319191
